code,name,prereqs
CSCI 2500B,Optimization Algorithms for Planar Graphs,CSCI\xa01570
CSCI 2951M,Advanced Algorithms Seminar,CSCI\xa01570
CSCI 2951Z,Advanced Algorithmic Game Theory,
CSCI 0060,Practical System Skills,
CSCI 0130,User Interfaces and User Experience,CSCI\xa00130CSCI\xa01300CSCI\xa01300
CSCI 1370,Virtual Reality Design for Science,
CSCI 1951M,Great Ideas in Computer Science,
CSCI 2950V,Topics in Applied Cryptography,CSCI\xa01660CSCI\xa01510
CSCI 2951I,Computer Vision for Graphics and Interaction,
CSCI 0040,Introduction to Scientific Computing and Problem Solving,
CSCI 1951N,"VR+X, The Potential of Virtual Reality to Transform Nearly Everything",
CSCI 2450,Exchange Scholar Program,
CSCI 2590,Advanced Topics in Cryptography,CSCI\xa01510
CSCI XLIST,Courses of Interest to Concentrators in Computer Science,
CSCI 1575,Algorithms: in Depth,CSCI\xa01570CSCI\xa01570
CSCI 1695,Operating System Design and Implementation,
CSCI 2340,Software Engineering,CSCI\xa00320CSCI\xa00330
CSCI 2952D,Computational Semantics,
CSCI 2952E,Topics in Network Management: Data-driven and Programmable Networks,
CSCI 1951F,"Computers, Freedom and Privacy: Current Topics in Law and Policy",
CSCI 1951G,Optimization Methods in Finance,CSCI\xa01450APMA\xa01650CSCI\xa01570
CSCI 1951S,Virtual Reality Software Review,
CSCI 2510,Approximation Algorithms,CSCI\xa01510
CSCI 2950U,Special Topics on Networking and Distributed Systems,
CSCI 2952A,Blockchains and Cryptocurrencies,
CSCI 2952B,Topics in Computer Science Education Research,
CSCI 0530,Directions: The Matrix in Computer Science,
CSCI 2951W,Creative Artificial Intelligence for Computer Graphics,
CSCI 0080,A First Byte of Computer Science,
CSCI 2951Y,Special Topics in Formal Semantics and Notional Machines,
CSCI 1950T,Advanced Animation Production,CSCI\xa01250
CSCI 1951H,Software Security and Exploitation,
CSCI 1951J,Interdisciplinary Scientific Visualization,
CSCI 2420,Probabilistic Graphical Models,
CSCI 2951N,Advanced Algorithms in Computational Biology,
CSCI 2951V,Systems for Interactive Data Exploration,
COST 0030,"Sound, Song and Salvation in South Asia",
COST 0100,Introduction to Contemplative Studies,
COST 0145,"Karma, Rebirth and Liberation: Life and Death in South Asian Religions",
COST 0525,The History and Practice of Yoga in India and Beyond,
COST 0535,Self Transformation and Transcendence in Later Daoist Contemplative Traditions,
COST 1020,Cognitive Neuroscience of Meditation,
COST 1420,The Contemplative Foundations of Classical Daoism,
COST 1885,Measuring Mindfulness,
COST 1950,Senior Concentrators' Seminar,
COST 0034,Dharma: A History of Classical Indian Civilization,
COST 0036,Love and War in India,
COST 0125,Your Moment of Zen,
COST 0140,"Food, Religion and Politics in South Asia",
COST 0520,"Tai Chi, Qigong, and Traditions of Energy Cultivation in China",
COST 0560,Contemplation and Social Action,
COST 1080,"Meditation, Mindfulness and Health (PHP 1880)",PHP\xa01880
COST 1082,"Me, Myself, and I: Exploring Senses of Self from a Multidisciplinary Perspective",
COST 0035,Saints and Mystics of India,
COST 0120,The Classical Chinese Philosophy of Life,
COST 0032,Music and Meditation,
COST 0037,Sensing the Sacred: Sensory Culture in South Asian Religions,
COST 0200,Meditation and the Brain,
COST 0526,This Whole World is OM: Mantras in Indian Religions,
COST 0555,Zen: An Introduction,
COST 1090,The Craving Mind,
COST 1520,Consciousness (PHIL 1520),
COST 1705A,Principles and Practices of Contemplative Studies,COST\xa00100
COST 1700A,"The History, Philosophy, and Practice of Rinzai Zen: Zen Master Hakuin Ekaku",
COST 1890,The Craving Mind (PHP 1890),
COST 0425,The History and Practice of Yoga in India and Beyond,
COST 0570,"Science, Religion, and the Search for Happiness in Traditional Asian Thought",
COST 0450,Stages of the Contemplative Path,
COST 0040,Great Contemplative Traditions of Asia,
COST 0530,Laozi and the Daodejing,
COST 0990,Concepts of the Self in Classical Indian Literature (CLAS 0990),CLAS\xa00990
COST 1870,Neuroethics (SCSO 1700P),
COST 0420,The Theory and Practice of Buddhist Meditation,
COST 0650,Psychology and Philosophy of Happiness (PHIL 0650),
COST 0855,The Bhagavad Gītā (CLAS 0855),CLAS\xa00855
COST 1442,"The History, Philosophy, and Practice of Rinzai Zen Buddhism",
COST 0540,Introduction to Contemplative Studies,
CZCH 1000,"Dimensions of Czech Animation: Contexts, Interpretations, and Dialogs with the East",
CZCH 0200,Introductory Czech,CZCH\xa00200
CZCH 0100,Introductory Czech,
CZCH 0610C,"Czech Cultural Icons, Emblems, and National Identity",
CZCH 0410B,Coming of Age in Postwar Czechoslovakia,CZCH\xa00200
CZCH 0320A,Czech Animation: Cross-cultural Dialogs,
CZCH 0610B,Psychosis of Occupation in the Czech Lands,
CZCH 0410D,Czechs and the Big Brother: Czech Lands in the 1980s,CZCH\xa00200
DATA 0200,Data Science Fluency,
DATA 2020,Statistical Learning,
DATA 2050,Data Science Practicum,DATA\xa01010DATA\xa01030
DATA 2080,Data and Society,
DATA 0080,"Data, Ethics and Society",
DATA 1010,"Probability, Statistics, and Machine Learning",
DATA 1030,Hands-on Data Science,CSCI\xa00050CSCI\xa00150CSCI\xa00170
DATA 1050,Data Engineering,
DATA 1150,Data Science Fellows,
DATA 0250,Applied Statistics in Python,
DATA 2040,Deep Learning and Special Topics in Data Science,
DATA 1200,Reality Remix - Experimental VR,
DATA 2110,Topics in Econometrics,
DEVL 1000,Sophomore Seminar in Development Studies,
DEVL 1500,Methods in Development Research,
DEVL 1874,Development's Visual Imaginaries: Still and Moving Images That Shaped the Field,
DEVL 2990,Thesis Preparation,
DEVL 1560,Economic Development in Latin America,
DEVL 1801A,Infrastructure!,
DEVL 1980,Thesis Writing in Development Studies,
DEVL 2000,Theory and Research in Development I,
DEVL 1803R,Caribbean and Pacific Small States: On the Margins of Development,
DEVL 1810,Information Technology and Governance,
DEVL 0500,Development and the International Economy (ECON 0510),
DEVL 1120,Economic Development (ECON 1510),
DEVL 1802S,Human Security and Humanitarian Response:  Increasing Effectiveness and Accountability,
DEVL 1803S,The Politics of Health and Disease (POLS 1295),
DEVL 1700,"Beyond Sun, Sea and Sand: Exploring the Contemporary Caribbean",
DEVL 1802R,The History and Politics of Development in the Middle East,
EMOW 0522G,An Empire and Republic: The Dutch Golden Age (HIST 0522G),HIST\xa00522
EMOW 1262,"Women, Gender, Feminism in Early Modern Italy (ITAL 1262)",
EMOW 1266D,"British History, 1660-1800 (HIST 1266D)",HIST\xa01266
EMOW 1410I,Sorcellerie et Renaissance: le sort de la sorcière (FREN 1410I),FREN\xa01410
EMOW 1411,Illustrating Indigenous Knowledge (HIAA 1411),
EMOW 1825F,"Nature, Knowledge, and Power in Renaissance Europe (HIST 1825F)",HIST\xa01825
EMOW 2970E,Early Modern Continental Europe - Reading (HIST 2970E),HIST\xa02970
EMOW 0062,Dutch and Flemish Art:  Visual Culture of the Netherlands in the Seventeenth Century (HIAA 0062),HIAA\xa00062
EMOW 0081,Architecture of the House Through Space and Time (HIAA 0081),HIAA\xa00081
EMOW 0211,Art of Empire: The Early Modern Hispanic World (HIAA 0211),HIAA\xa00211
EMOW 0910,On the Dawn of Modernity (POBS 0910),POBS\xa00910
EMOW 1040D,Molière et son monde (FREN 1040D),FREN\xa01040
EMOW 1320,Great Authors and Works of Italian Renaissance (ITAL 1320),ITAL\xa01320
EMOW 1361L,Milton (ENGL 1361L),ENGL\xa01361
EMOW 1430B,Art and Exemplarity in Medieval and Early Modern Literature (COLT 1430B),COLT\xa01430
EMOW 1620,Arts Between Europe and the World 1500-1700 (HIAA 1620),HIAA\xa01620
EMOW 1825H,"Science, Medicine and Technology in the 17th Century (HIST 1825H)",HIST\xa01825
EMOW 2110K,Vision and Visualization in Literature: The Rhetoric of Enargeia (CLAS 2110K),CLAS\xa02110
EMOW 2561V,The Pursuit of Happiness: Transatlantic Literary Culture in the Long Eighteenth Century (ENGL 2561V),ENGL\xa02561
EMOW 1272D,The French Revolution (HIST 1272D),HIST\xa01272
EMOW 0632,Mural Painting in Mexico (HIAA 0632),HIAA\xa00632
EMOW 1020,Boccaccio's Decameron (ITAL 1020),ITAL\xa01020
EMOW 1361M,Evil Plays: Shakespeare and Contemporaries (ENGL 1361M),
EMOW 1624,"Indians, Colonists, and Africans in New England (ANTH 1624)",ANTH\xa01624
EMOW 2130R,Penser et écrire le non-humain au XVIIème siècle (FREN 2130R),
EMOW 2822D,Literature and Politics in the Age of Revolutions (COLT 2822D),
EMOW 2971T,Colonial Latin America (HIST 2971T),HIST\xa02971
EMOW 0286A,History of Medicine I: Medical Traditions in the Old World before 1700 (HIST 0286A),HIST\xa00286
EMOW 0310A,Introduction to Shakespeare (ENGL 0310A),ENGL\xa00310
EMOW 1010,Dante in English Translation: Dante's World and the Invention of Modernity (ITAL 1010),ITAL\xa01010
EMOW 1120G,Reading Humanist Latin Texts (LATN 1120G),LATN\xa01120
EMOW 1266C,"English History, 1529-1660 (HIST 1266C)",HIST\xa01266
EMOW 1550C,Dreaming of Food in the Early Modern World (HIAA 1550C),HIAA\xa01550
EMOW 1631,"Authority, Identity, and Visual Culture in Colonial Latin America (HIAA 1631)",HIAA\xa01631
EMOW 1964C,Gender and Sexuality in Early Modern Europe (HIST 1964C),
EMOW 1974Q,"England without a Monarchy: Regicide and Republic, 1649-1660 (HMAN 1974Q)",
EMOW 2600G,Art and Architecture of the Jesuits:  1540-1773 (HIAA 2600G),
EMOW 1040,Virgil: Aeneid (LATN 1040B),LATN\xa01040
EMOW 1040C,Le Grand Siècle à l'écran (FREN 1040C),FREN\xa01040
EMOW 1160,Classics of Indian Literature (CLAS 1160),CLAS\xa01160
EMOW 1216,The Paradox of Early Modern Europe (HIST 1216),HIST\xa01216
EMOW 1430,Truth on Trial (HIST 1430),
EMOW 1510A,Jane Austen and Her Predecessors (ENGL 1510A),ENGL\xa01510
EMOW 1561C,Swift and His Contemporaries (ENGL 1561C),ENGL\xa01561
EMOW 1610,The Divina Commedia: Inferno and Purgatorio (ITAL 1610),ITAL\xa01610
EMOW 1813N,Early Modern Women's Writing (COLT 1813N).,COLT\xa01813
EMOW 2110H,Savoirs et non-savoirs de la Renaissance (FREN 2110H),
EMOW 2400X,"Premodern Art-Science, or the Work of Knowing in Europe before 1800 (HMAN 2400X)",
EMOW 0063,Food and Art in the Early Modern World (HIAA 0063),
EMOW 0150H,Foods and Drugs in History (HIST 0150H),HIST\xa00150
EMOW 0660,Giotto to Watteau:Introduction to the Art of Europe from Renaissance to French Revolution(HIAA 0660),HIAA\xa00660
EMOW 0710I,New Worlds: Reading Spaces and Places in Colonial Latin America (COLT 0710I),COLT\xa00710
EMOW 1240A,Fashion and Fiction in the Early Modern Hispanic World (HISP 1240A),HISP\xa01240
EMOW 1561K,Restoration and Eighteenth-Century Drama (ENGL 1561K),ENGL\xa01561
EMOW 1950K,Shakespeare's Comedies (ENGL 1950K),
EMOW 2160N,Antiquity and Innovation in the Hispanic Renaissance (HISP 2160N),HISP\xa02160
EMOW 2360Y,Lyric and Ecstasy (ENGL 2360Y),ENGL\xa02360
EMOW 2400R,Tracing Translations: Artistic Migrations and Reinventions in the Early Modern World (HMAN 2400R),
EMOW 2520I,Sor Juana Inés de la Cruz in Her Literary Context (HISP 2520I),HISP\xa02520
EEPS 0010,Face of the Earth,EEPS\xa00220
EEPS 0230,Geochemistry: Earth and Planetary Materials and Processes,
EEPS 0240,Earth: Evolution of a Habitable Planet,
EEPS 0810,Planetary Geology,
EEPS 0850,Weather and Climate,MATH\xa00090PHYS\xa00050
EEPS 1110,Descriptive Coastal and Estuarine Oceanography,MATH\xa00090
EEPS 1330,Global Environmental Remote Sensing,MATH\xa00090PHYS\xa00060
EEPS 1370,Environmental Geochemistry,CHEM\xa00100
EEPS 1510,Introduction to Atmospheric Dynamics,EEPS\xa01510
EEPS 1560,Global Tectonics,EEPS\xa00220EEPS\xa00220
EEPS 1620,Continuum Physics of the Solid Earth,EEPS\xa00220APMA\xa00340PHYS\xa00470ENGN\xa00510
EEPS 1960C,Planetary Petrology,
EEPS 1960D,Machine Learning for the Earth and Environment,
EEPS 1960F,"Patterns in Nature, in Society",
EEPS 1960G,Earth Science Curriculum Design and Teaching Practicum for Elementary School,
EEPS 1960X,"Ocean, Cryosphere, and Sea Level Change",
EEPS 2460,Phase Equilibria,
EEPS 2910H,Geophysical Phenomena Across the Solar System,
EEPS 2920A,Measuring Climate and Environmental Change with Geophysical Data,
EEPS 2920C,The Sedimentary Rock Cycle of Mars and Earth,
EEPS 2990,Thesis Preparation,
EEPS 0050,"Mars, Moon, and the Earth",
EEPS 0070,Introduction to Oceanography,
EEPS 0160I,Diamonds,
EEPS 0160P,From Human Migration to Solving Crimes: The World of Forensic Isotopes,
EEPS 0220,Earth Processes,
EEPS 0350,Mathematical Methods of Fluid,
EEPS 0830,Water in Our World,
EEPS 1120,Paleoceanography,
EEPS 1240,Stratigraphy and Sedimentation,EEPS\xa00220
EEPS 1410,Mineralogy,EEPS\xa00230CHEM\xa00100
EEPS 1610,Solid Earth Geophysics,EEPS\xa00220PHYS\xa00470APMA\xa00330
EEPS 1615,The Environmental Policy Process,
EEPS 1630,Introduction to Quantitative Glaciology,
EEPS 2300,Mathematical and Computational Earth Sciences,
EEPS 2840,Asteroids and Meteorites,
EEPS 2910T,Lattice Boltzmann Modeling in Natural Sciences,
EEPS 2910Z,Trace Element Geochemistry,EEPS\xa02730EEPS\xa01420
EEPS 0160G,Energy Resources,
EEPS 0160M,Natural Disasters,
EEPS 1310,Global Water Cycle,
EEPS 1420,Petrology,EEPS\xa01410
EEPS 1450,Structural Geology,EEPS\xa00220
EEPS 1520,Ocean Circulation and Climate,EEPS\xa00250EEPS\xa00350PHYS\xa00720APMA\xa00180
EEPS 1745,Planetary System Design: A Team Project Course,MATH\xa00090MATH\xa00100PHYS\xa00030PHYS\xa00040PHYS\xa00050PHYS\xa00060PHYS\xa00070EEPS\xa00250EEPS\xa00220EEPS\xa01610EEPS\xa01810
EEPS 1960L,Foundational Readings in the Earth Sciences,
EEPS 1960Z,Physical Volcanology,
EEPS 2310,Graduate Seminar on Scientific Writing and Research Design,
EEPS 2730,Isotope Geochemistry,
EEPS 2920E,Introduction to Organic Geochemistry,
EEPS 2920M,Monsoons and Climate,
EEPS 0250,Computational Approaches to Modelling and Quantitative Analysis in Natural Sciences: An Introduction,MATH\xa00090PHYS\xa00030
EEPS 1130,Ocean Biogeochemical Cycles,CHEM\xa00330
EEPS 1320,Introduction to Geographic Information Systems for Environmental Applications,
EEPS 1430,Principles of Planetary Climate,
EEPS 1650,Earthquake Seismology,EEPS\xa01610EEPS\xa00220
EEPS 1690,Introduction to Methods in Data Analysis,
EEPS 1810,Physics of Planetary Evolution,
EEPS 2330,Advanced Remote Sensing,EEPS\xa01330MATH\xa00100
EEPS 2350,Quaternary Climatology Seminar,EEPS\xa00240
EEPS 2410,Kinetics of Geochemical Processes,EEPS\xa02460
EEPS 2910X,Topics in Geophysics,
EAST 0010,Beyond Orientalism: Understanding “East Asia”,
EAST 0200V,Beginning Vietnamese,
EAST 0400V,Intermediate Vietnamese,
EAST 0407,Yo no naka: Fiction and the Virtual in Heian Japan,
EAST 0408,"The Erotic Family: Sex, Money and Intimacy in Japan",
EAST 1100,Korean Culture and Film,
EAST 1290,"The Korea “Brand”: Understanding KPop, Film, and Culture of the Two Koreas in the Global Context",
EAST 1936,Memory and Justice in East Asia,
EAST 1951A,Prose of the World: Understanding Late Imperial China through Fiction and Belles-Lettres,
EAST 0100V,Beginning Vietnamese,
EAST 0300V,Intermediate Vietnamese,
EAST 0406,"Foreign Bodies in Japan, 600–1600",
EAST 0501,"Korean Youth, Identity, and Nation",
EAST 0534,"Patriots, Communists, and Traitors in Modern Korea",
EAST 1270,"China Through the Lens: History, Cinema, and Critical Discourse",
EAST 1305,"Status, Power, and Identity in Mid-Imperial China",
EAST 1490,Word for Word: Linguistic Principles in Chinese-English Translation,
EAST XLIST,Courses of Interest to Concentrators,
EAST 0520,"Sex, Gender, and Society in Imperial China",
EAST 1070,China Modern: An Introduction to the Literature of Twentieth-Century China,
EAST 0310,Japan's Floating World,
EAST 0350,Empire and its Aftermath: Modern Culture in Japan and the Koreas,
EAST 0533,"Beyond Gangnam Style: Seoul, Dislocation, and the Search for Place",
EAST 0620,"Literature, Science, and Technology in China",
EAST 0650,"Language, Culture, and Society: Korea",
EAST 1293,Two Koreas,
EAST 1310,Silk Road Fictions,
EAST 1500,Returnees in China's Modernization,
EAST 1950H,"Translating Japanese: Short Fiction, Poetry, Film and Manga",JAPN\xa00600
EAST 1292,Asia Extreme: Beauty and Violence in Korean Media,
EAST 1940A,"Crafting Early Modern China: Handicraft, Witchcraft and Statecraft",
EAST 1950B,"Chinese Women, Gender and Feminism from Historical and Transnational Perspectives",
EAST 0531,Complicating Korean History: Topics and Issues,
EAST 0800,Off the Beaten Path: A Survey of Modern Japanese Literature,
EAST 1950G,"Market Economy, Popular Culture, and Mass Media in Contemporary China",
EAST 0500,Childhood and Culture in Japan,
EAST 1090,"Translating Korean: Fiction, Poetry & Film",
EAST 0532,Korean Controversies and Negotiations: Moving Beyond Colonial Origins of National Division,
EAST 1030,Words on Things: Literature and Material Culture in Early Modern China,
EAST 1291,Korean Film and Culture: The Appeal of Korean Film,
EAST 1510,Chinese: A History of the Language,
EAST 1951B,From Desktop to Stage: Drama and Performance in Late Imperial China,
EAST 2450,Exchange Scholar Program,
EAST 1950X,"Queer Japan: Culture, History and Sexuality",
EAST 0380,Introduction to Premodern Japanese Literature,
EAST 0550,"K-Pop: History, Culture, Politics",
EAST 0610,Popular Culture across Media in Early Modern China,
EAST 1951,Literature and Technology in Early Modern China,
EAST 1951D,"The Two Koreas, 1945-Present",
EAST 0530,"Modern Korea: Politics, Culture, and Society",
EAST 0600,Literature and Social Inequality in Late Imperial China,
EAST 1280,Introduction to Japanese Cinema,
EAST 1950W,"Translating Korean: Fiction, Poetry, Film and K-Pop",
EAST 1951C,Picturing Korea: History and Memory in South Korean Cinema,
EAST 1190,Literature and Science in Early Modern China,
EAST 1950M,Critical Approaches to China,
ECON 0110,Principles of Economics,ECON\xa01110
ECON 0170,Essential Mathematics for Economics,MATH\xa00100MATH\xa00170ECON\xa00170ECON\xa01110
ECON 0200,20th Century Political Economy,
ECON 0400,Free Inquiry and the Modern World,
ECON 0710,Financial Accounting,
ECON 1070,"Race, Crime, and Punishment in America",
ECON 1090,Introduction to Game Theory,
ECON 1110,Intermediate Microeconomics,
ECON 1130,Intermediate Microeconomics (Mathematical),ECON\xa01110
ECON 1170,Welfare Economics and Social Choice Theory,
ECON 1210,Intermediate Macroeconomics,
ECON 1350,Environmental Economics and Policy,
ECON 1410,Urban Economics,
ECON 1420,Industrial Organization,
ECON 1430,The Economics of Social Policy,
ECON 1440,The Economic Analysis of Political Behavior,
ECON 1470,Bargaining Theory and Applications,
ECON 1590,The Economy of China since 1949,
ECON 1620,Introduction to Econometrics,
ECON 1629,Applied Research Methods for Economists,
ECON 1630,Mathematical Econometrics I,
ECON 1640,Mathematical Econometrics II,ECON\xa01630
ECON 1680,"Machine Learning, Text Analysis, and Economics",
ECON 1710,Investments I,
ECON 1720,Corporate Finance,
ECON 1780,Advanced Topics in Corporate Finance,ECON\xa01710ECON\xa01720
ECON 1805,Economics in the Laboratory,
ECON 1850,Theory of Economic Growth,
ECON 2020,Applied Economics Analysis,
ECON 2040,Econometric Methods,
ECON 2060,Microeconomics II,
ECON 2080,Macroeconomics II,
ECON 2180,Game Theory,
ECON 2270,Political Economy II,
ECON 2330,Topics in Labor Economics,
ECON 2410,Urbanization,ECON\xa02050
ECON 2510,Economic Development I,
ECON 2530,Behavioral and Experimental Economics,
ECON 2800,Macroeconomic Slack,
ECON 2830,Economic Growth and Comparative Development,
ECON 2930,Workshop in Applied Economics,
ECON 2950,Workshop in Econometrics,
ECON 2960,Workshop in Macroeconomics and Related Topics,
ECON 2970,Workshop in Economic Theory,
ECON 2990,Thesis Preparation,
ECON 0180A,Using Big Data to Solve Economic and Social Problems,
ECON 1200,History of Economic Thought,
ECON 1255,Unemployment: Models and Policies,
ECON 1310,Labor Economics,
ECON 1340,Economics of Global Warming,
ECON 1360,Health Economics,
ECON 1370,Race and Inequality in the United States,
ECON 1390,"Inequality of Income, Wealth, and Health in the United States",
ECON 1450,Economic Organizations and Economic Systems,
ECON 1500,Current Global Macroeconomic Challenges,
ECON 1530,"Health, Hunger and the Household in Developing Countries",
ECON 1540,International Trade,
ECON 1550,International Finance,
ECON 1560,Economic Growth,
ECON 1570,The Economics of Latin Americans,
ECON 1600,"Education, the Economy and School Reform",
ECON 1730,"Venture Capital, Private Equity, and Entrepreneurship",
ECON 1750,Investments II,
ECON 1760,Financial Institutions,
ECON 1820,Theory of Behavioral Economics,
ECON 1830,Behavioral Finance,
ECON 2010,Mathematics for Economists,
ECON 2030,Introduction to Econometrics I,
ECON 2050,Microeconomics I,
ECON 2070,Macroeconomics I,
ECON 2140,Economic Modeling for Applied Economists,
ECON 2150,Market Design,
ECON 2260,Political Economy I,
ECON 2310,Labor Economics,
ECON 2350,Inequality and Social Policy,
ECON 2470,Industrial Organization,
ECON 2520,Economic Development II,
ECON 2630,Econometric Theory,
ECON 2860,Comparative Development,
ECON 2890C,Topics in Macro and Monetary Economics,
ECON 0180E,The Economics of Higher Education,
ECON 0720,Business Fundamentals Bootcamp,
ECON 1225,"Advanced Macroeconomics: Monetary, Fiscal, and Stabilization Policies",
ECON 1301,Economics of Education I,ECON\xa01110
ECON 1545,"Topics in Macroeconomics, Development and International Economics",
ECON 2360,Economics of Health and Population,
ECON 2600,Bayesian and Structural Econometrics,
ECON 1465,Antitrust and Competition,
ECON 1510,Economic Development,
ECON 1660,Big Data,
ECON 1870,Game Theory and Applications to Economics,
ECON 2485,Public Economics I,
ECON 2840,Empirical Analysis of Economic Growth,
ECON 2890D,"Topics in Macroeconomics, Development and Trade",
ECON 1400,The Economics of Mass Media,
ECON 1460,Industrial Organization,
ECON 1486,The Economic Analysis of Political Behavior,
ECON 1825,Behavioral Economics and Public Policy,
ECON 2160,"Risk, Uncertainty, and Information",
ECON 2490,Public Finance II,
ECON 0510,Development and the International Economy,
ECON 1490,Designing Internet Marketplaces,
ECON 2320,Applied Methods,
ECON 2620,Topics in Econometrics,
ECON 1355,Environmental Issues in Development Economics,
ECON 2170,Applied Economic Theory,
ECON 2380,The Economics of Children and Families,
ECON 0390,"Income, Wealth, and Health Inequality in the United States",
ECON 1670,Advanced Topics in Econometrics,
ECON 1960,Honors Tutorial for Economics Majors,ECON\xa01970
ECON 2350B,Inequality and Public Policies,
ECON 0520,The Economics of Gender Equality and Development,
ECON 1740,Mathematical Finance,
ECON 1860,The Theory of General Equilibrium,
ECON 2660,Recent Advances in the Generalized Method of Moments,
ECON 1300,"Education, the Economy and School Reform (EDUC1150)",EDUC\xa01150
ECON 1565,Income Inequality,
ECON 0180D,The Power of Data (and its Limits),
ECON 1765,"Finance, Regulation, and the Economy: Research",
EDUC 0508,Theory and Practice of Engaged Scholarship (SOC 0310),SOC\xa00310
EDUC 0540,Language and Education Policy in Multilingual Contexts,
EDUC 0550,Current Issues in US Higher Education,
EDUC 0620,"Cradle of Inequality: The Role of Families, Schools, and Neighborhoods",
EDUC 0750,Evidence and Method in Education Research,
EDUC 0800,Introduction to Human Development and Education,
EDUC 0830,Sociology of Education,
EDUC 0835,Comparative Education,
EDUC 1190,Family Engagement in Education,
EDUC 1300,Schools as Sites of Social Welfare: An Exploration of the Role of Social Workers in Schools,
EDUC 1615,Introduction to Community-Based Participatory Research in Education,
EDUC 1645,Moral Development and Education,
EDUC 1665,Reimagining Humanities Education: Curriculum Development for Secondary Schools,
EDUC 1675,The Psychology of Teaching and Learning,
EDUC 2350,Economic Analysis and Urban Education Policy,
EDUC 2380,UEP Internship Seminar,
EDUC 2390,Race and Democracy in Urban Education Policy,
EDUC 2530A,Educational Theory and Practice III: English,
EDUC 2530B,Educational Theory and Practice in Teaching Social Studies III,
EDUC 2530C,Educational Theory and Practice in Teaching Science III,
EDUC 2530D,Educational Theory and Practice in Teaching Mathematics III,
EDUC 2545,Teaching Literacy and Language to Emerging Bilinguals Across the Disciplines II,
EDUC 2555,Assessment and Using Data to Support Student Learning,
EDUC 2575,Student Teaching and Seminar,
EDUC 2990,Thesis Preparation,
EDUC 0300,Introduction to Education and Society: Foundations of Opportunity and Inequality,
EDUC 0405,"New Faces, New Challenges: Immigrant Students in U.S. Schools",
EDUC 0520,Adolescent Literature,
EDUC 0530,Fieldwork and Seminar in Secondary Education,
EDUC 0815,The Craft of Teaching,
EDUC 0820,Politics and Public Education,
EDUC 1225,The American Teacher: How Policy Shapes the Profession,
EDUC 1230,Applied Statistics for Ed Research and Policy Analysis,
EDUC 1265,Comparative Education Systems: Governance and Policy,
EDUC 1310,"Inside Higher Ed: Sex, Class, and Admissions",
EDUC 1490,Discipline and Punish: Historical Insights on School Punishment,
EDUC 1600,"Education, the Economy and School Reform",EDUC\xa01230ECON\xa01110ECON\xa01130ECON\xa01620
EDUC 1655,Human Development and Education in East Asia,
EDUC 1680,Histories of Race and Education in the United States,
EDUC 1900,Senior Seminar,
EDUC 2360,Policy Analysis and Program Evaluation for Education,POLS\xa01600SOC\xa01100
EDUC 2367,Strategic Management of School Organizations,
EDUC 2385,Education Inequality and Community Assets: Contexts and Change,
EDUC 2515,Learning Theory and Special Populations,
EDUC 2520A,Educational Theory and Practice in Teaching English II,
EDUC 2520B,Educational Theory and Practice in Teaching Social Studies II,
EDUC 2520C,Educational Theory and Practice for Science II,
EDUC 2520D,Educational Theory and Practice in Teaching Mathematics II,
EDUC 2525,"Instructional Design, Planning, and Integrating Technology",
EDUC 2535,Teaching Literacy and Language to Emerging Bilinguals Across the Disciplines I,
EDUC 2565,Practicum and Seminar I,
EDUC 0410A,"New Faces, New Challenges: Immigrant Students in U.S. Schools",
EDUC 0410G,The Afterschool Hours,
EDUC 2320,Quantitative Research Methods and Data Analysis,
EDUC 2330,Urban Education Policy: System and Governance,
EDUC 2500,Foundations of Teaching and Learning,
EDUC 2510A,Educational Theory and Practice in Teaching English 1,
EDUC 2510B,Educational Theory and Practice I: Social Studies,
EDUC 2510C,Educational Theory and Practice 1: Science,
EDUC 2510D,Educational Theory and Practice in Teaching Mathematics 1,
EDUC 0100,Controversies in Educational Inequality,
EDUC 0900,Fieldwork and Seminar in Secondary Education,
EDUC 1030,Comparative Education,
EDUC 1100,Introduction to Qualitative Research Methods,
EDUC 1130,Economics of Education I,
EDUC 1380,Language and Education Policy in Multilingual Contexts,
EDUC 1430,"Social Psychology of Race, Class, and Gender",
EDUC 1450,The Psychology of Teaching and Learning,
EDUC 1685,Is the US University (As Is) Worth Saving?: (Re)Imagining Alternative Forms of Higher Education,
EDUC 1010,The Craft of Teaching,
EDUC 1045,Sociology of Higher Education,
EDUC 1060,Politics and Public Education,
EDUC 1090,Adolescent Literature,
EDUC 1110,Introductory Statistics for Education Research and Policy Analysis,
EDUC 1215,Race Making and the US University,
EDUC 1270,Adolescence in Social Context,
EDUC 1650,Policy Implementation in Education,
EDUC 1040,Sociology of Education,
EDUC 1070A,Student Teaching: English,
EDUC 1070B,Student Teaching: History and Social Studies,
EDUC 1070C,Student Teaching: Science,
EDUC 1080A,Analysis of Teaching: English,
EDUC 1080B,Analysis of Teaching: History and Social Studies,
EDUC 1080C,Analysis of Teaching: Science,
EDUC 1580,Cross-Cultural Perspectives on Child Development,
EDUC 1730,American Higher Education in Historical Context,
EDUC 1860,Social Context of Learning and Development,EDUC\xa00800EDUC\xa01270EDUC\xa01430EDUC\xa01580CLPS\xa00610
EDUC 1890,Family Engagement in Education,
EDUC 2070A,Student Teaching: English,
EDUC 2070B,Student Teaching: History and Social Studies,
